service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BPPC6-BP_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
BPPC6-BP_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
BPPC6-BP_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
CPPC6-CP_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
CPPC6-CP_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
CPPC6-CP_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
ECPC6-EC_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
ECPC6-EC_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
ECPC6-EC_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
FRPC6-FR_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
FRPC6-FR_C6-Weekday-03-SDon,1,1,1,1,1,0,0,20260629,20260904
FRPC6-FR_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
JKPC6-JK_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
JKPC6-JK_C6-Weekday-03-SDon,1,1,1,1,1,0,0,20260629,20260904
JKPC6-JK_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
LGPC6-LG_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
LGPC6-LG_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
LGPC6-LG_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
SCPC6-SC_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
SCPC6-SC_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
SCPC6-SC_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
YOPC6-YO_C6-Sunday-03,0,0,0,0,0,0,1,20260628,20260830
YOPC6-YO_C6-Weekday-03,1,1,1,1,1,0,0,20260629,20260904
YOPC6-YO_C6-Saturday-03,0,0,0,0,0,1,0,20260703,20260905
