service_id,date,exception_type
BPPC6-BP_C6-Weekday-03,20260703,2
BPPC6-BP_C6-Saturday-03,20260703,1
CPPC6-CP_C6-Weekday-03,20260703,2
CPPC6-CP_C6-Saturday-03,20260703,1
ECPC6-EC_C6-Weekday-03,20260703,2
ECPC6-EC_C6-Saturday-03,20260703,1
FRPC6-FR_C6-Weekday-03-SDon,20260703,2
FRPC6-FR_C6-Weekday-03-SDon,20260629,2
FRPC6-FR_C6-Weekday-03-SDon,20260630,2
FRPC6-FR_C6-Weekday-03-SDon,20260820,2
FRPC6-FR_C6-Weekday-03-SDon,20260821,2
FRPC6-FR_C6-Weekday-03-SDon,20260824,2
FRPC6-FR_C6-Weekday-03-SDon,20260825,2
FRPC6-FR_C6-Weekday-03-SDon,20260826,2
FRPC6-FR_C6-Weekday-03-SDon,20260827,2
FRPC6-FR_C6-Weekday-03-SDon,20260828,2
FRPC6-FR_C6-Weekday-03-SDon,20260831,2
FRPC6-FR_C6-Weekday-03-SDon,20260901,2
FRPC6-FR_C6-Weekday-03-SDon,20260902,2
FRPC6-FR_C6-Weekday-03-SDon,20260903,2
FRPC6-FR_C6-Weekday-03-SDon,20260904,2
FRPC6-FR_C6-Weekday-03,20260629,1
FRPC6-FR_C6-Weekday-03,20260630,1
FRPC6-FR_C6-Weekday-03,20260820,1
FRPC6-FR_C6-Weekday-03,20260821,1
FRPC6-FR_C6-Weekday-03,20260824,1
FRPC6-FR_C6-Weekday-03,20260825,1
FRPC6-FR_C6-Weekday-03,20260826,1
FRPC6-FR_C6-Weekday-03,20260827,1
FRPC6-FR_C6-Weekday-03,20260828,1
FRPC6-FR_C6-Weekday-03,20260831,1
FRPC6-FR_C6-Weekday-03,20260901,1
FRPC6-FR_C6-Weekday-03,20260902,1
FRPC6-FR_C6-Weekday-03,20260903,1
FRPC6-FR_C6-Weekday-03,20260904,1
FRPC6-FR_C6-Saturday-03,20260703,1
JKPC6-JK_C6-Weekday-03-SDon,20260703,2
JKPC6-JK_C6-Weekday-03-SDon,20260629,2
JKPC6-JK_C6-Weekday-03-SDon,20260630,2
JKPC6-JK_C6-Weekday-03-SDon,20260820,2
JKPC6-JK_C6-Weekday-03-SDon,20260821,2
JKPC6-JK_C6-Weekday-03-SDon,20260824,2
JKPC6-JK_C6-Weekday-03-SDon,20260825,2
JKPC6-JK_C6-Weekday-03-SDon,20260826,2
JKPC6-JK_C6-Weekday-03-SDon,20260827,2
JKPC6-JK_C6-Weekday-03-SDon,20260828,2
JKPC6-JK_C6-Weekday-03-SDon,20260831,2
JKPC6-JK_C6-Weekday-03-SDon,20260901,2
JKPC6-JK_C6-Weekday-03-SDon,20260902,2
JKPC6-JK_C6-Weekday-03-SDon,20260903,2
JKPC6-JK_C6-Weekday-03-SDon,20260904,2
JKPC6-JK_C6-Weekday-03,20260629,1
JKPC6-JK_C6-Weekday-03,20260630,1
JKPC6-JK_C6-Weekday-03,20260820,1
JKPC6-JK_C6-Weekday-03,20260821,1
JKPC6-JK_C6-Weekday-03,20260824,1
JKPC6-JK_C6-Weekday-03,20260825,1
JKPC6-JK_C6-Weekday-03,20260826,1
JKPC6-JK_C6-Weekday-03,20260827,1
JKPC6-JK_C6-Weekday-03,20260828,1
JKPC6-JK_C6-Weekday-03,20260831,1
JKPC6-JK_C6-Weekday-03,20260901,1
JKPC6-JK_C6-Weekday-03,20260902,1
JKPC6-JK_C6-Weekday-03,20260903,1
JKPC6-JK_C6-Weekday-03,20260904,1
JKPC6-JK_C6-Saturday-03,20260703,1
LGPC6-LG_C6-Weekday-03,20260703,2
LGPC6-LG_C6-Saturday-03,20260703,1
SCPC6-SC_C6-Weekday-03,20260703,2
SCPC6-SC_C6-Saturday-03,20260703,1
YOPC6-YO_C6-Weekday-03,20260703,2
YOPC6-YO_C6-Saturday-03,20260703,1
