route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
QM21,BPPC6-BP_C6-Weekday-03,46432743-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352862,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432744-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352865,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432745-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352863,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432746-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352868,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432747-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352871,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432748-BPPC6-BP_C6-Weekday-03,"MIDTOWN 57 ST via MADISON AV",1,8352873,QM210060
QM21,BPPC6-BP_C6-Weekday-03,46432749-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352866,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432750-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352875,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432751-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352869,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432752-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352872,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432753-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352867,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432754-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352874,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432755-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352864,QM210061
QM21,BPPC6-BP_C6-Weekday-03,46432756-BPPC6-BP_C6-Weekday-03,"ROCHDALE VILLAGE via BREWER BL",0,8352870,QM210061
Q111,BPPC6-BP_C6-Weekday-03,46432757-BPPC6-BP_C6-Weekday-03,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8352878,Q1110299
Q111,BPPC6-BP_C6-Weekday-03,46432758-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352878,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432759-BPPC6-BP_C6-Weekday-03,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8352807,Q1110299
Q111,BPPC6-BP_C6-Weekday-03,46432760-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352799,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432761-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352876,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432762-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352888,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432763-BPPC6-BP_C6-Weekday-03,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8352807,Q1110299
Q111,BPPC6-BP_C6-Weekday-03,46432764-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352807,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432765-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352876,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432766-BPPC6-BP_C6-Weekday-03,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8352880,Q1110299
Q111,BPPC6-BP_C6-Weekday-03,46432767-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352782,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432768-BPPC6-BP_C6-Weekday-03,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8352807,Q1110299
Q111,BPPC6-BP_C6-Weekday-03,46432769-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352807,Q1110298
Q111,BPPC6-BP_C6-Weekday-03,46432770-BPPC6-BP_C6-Weekday-03,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8352777,Q1110298
